Clues,Institución,Sigla de la Institución,Entidad,Municipio,Siglas del tipo de unidad,Tipo de Unidad,Unidad Médica,Cantidad de salas,Nivel de Atención,Observaciones,Latitud,Longitud,Direccion
CSIMB003506,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,IMSS-Bienestar,Chiapas,Tapachula,HRAE,Hospital Regional de Alta Especialidad,"Hospital Regional de Alta Especialidad ""Ciudad Salud""",1,Tercer Nivel,No aplica,14.80958302,-92.34737813,"CARRETERA TAPACHULA - PUERTO MADERO  SIN NÚMERO, COLONIA LOS TOROS, TAPACHULA, CHIAPAS, CP. 30830"
TCIMB000786,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,IMSS-Bienestar,Tabasco,Centro,HRAE,Hospital Regional de Alta Especialidad,"Hospital Regional de Alta Especialidad ""Dr. Gustavo A. Rovirosa Pérez""",1,Segundo Nivel,No aplica,18.0124021,-92.9242407,"CALLE 3 SIN NÚMERO, COLONIA EL RECREO, CENTRO, TABASCO, CP. 86020"
TCIMB000791,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,IMSS-Bienestar,Tabasco,Centro,HRAE,Hospital Regional de Alta Especialidad,"Hospital Regional de Alta Especialidad ""Dr. Juan Graham Casasús""",1,Tercer Nivel,No aplica,17.97761332,-92.9860788,"CARRETERA VILLAHERMOSA-LA ISLA KM 1.5 SIN NÚMERO, COLONIA MIGUEL HIDALGO, CENTRO, TABASCO, CP. 86127"
YNIMB000012,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,IMSS-Bienestar,Yucatán,Mérida,HRAE,Hospital Regional de Alta Especialidad,Hospital Regional de Alta Especialidad de la Península de Yucatán,1,Tercer Nivel,No aplica,21.0193421,-89.5819034,"CALLE 7 433, FRACCIONAMIENTO ALTABRISA, MERIDA, YUCATAN, CP. 97130"
GTIMB000015,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,IMSS-Bienestar,Guanajuato,León,HRAE,Hospital Regional de Alta Especialidad,Hospital Regional de Alta Especialidad del Bajío,1,Tercer Nivel,No aplica,21.0613651,-101.5767015,"BOULEVARD MILENIO 130, COLONIA SAN CARLOS LA RONCHA, LEON, GUANAJUATO, CP. 37544"
TCIMB000774,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,IMSS-Bienestar,Tabasco,Centro,HRAE,Hospital Regional de Alta Especialidad,"Hospital Regional de Alta Especialidad del Niño ""Dr. Rodolfo Nieto Padrón""",1,Tercer Nivel,No aplica,17.97715,-92.95287,"AVENIDA CORONEL GREGORIO MENDEZ MAGAÑA 2820, COLONIA ATASTA DE SERRA, CENTRO, TABASCO, CP. 86100"
VZIMB003766,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,IMSS-Bienestar,Veracruz,Poza Rica de Hidalgo,HR,Hospital Regional,Hospital Regional de Poza Rica,1,Segundo Nivel,No aplica,20.55418,-97.43901,"CALLE DE LAS FLORES SIN NÚMERO, COLONIA LAS VEGAS, POZA RICA DE HIDALGO, VERACRUZ DE IGNACIO DE LA LLAVE, CP. 93210"
VZIMB002342,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,IMSS-Bienestar,Veracruz,Xalapa,HR,Hospital Regional,"Hospital Regional de Xalapa ""Dr. Luis F. Nachón""",1,Tercer Nivel,No aplica,19.525544,-96.921021,"CALLE PEDRO RENDON 1, COLONIA CENTRO, XALAPA, VERACRUZ DE IGNACIO DE LA LLAVE, CP. 91000"
PENDIENTE,Servicios de Salud del Instituto Mexicano del Seguro Social para el Bienestar,IMSS-Bienestar,Tlaxcala,,UNEME,Unidad de Especialidades Médicas,Unidad de Especialidades Médicas de Hemodinamia,1,Segundo Nivel,No aplica,19.3685185,-98.2174945,PENDIENTE
ASSSA001331,Servicios Estatales de Salud,SESA,Aguascalientes,Aguascalientes,H,Hospital,Centenario Hospital Miguel Hidalgo,1,Tercer Nivel,No aplica,21.8947,-102.2831,"AVENIDA GOMEZ MORIN SIN NUMERO, BARRIO LA ESTACIÓN, AGUASCALIENTES, AGUASCALIENTES, CP. 20259"
CLHUN000015,Servicios Médicos Universitarios,SMU,Coahuila,Saltillo,HU,Hospital Universitario,Hospital Universitario de Saltillo,1,Segundo Nivel,No aplica,25.427755,-101.014095,"CALLE FRANCISCO I. MADERO SIN NUMERO, COLONIA SALTILLO ZONA CENTRO, SALTILLO, COAHUILA DE ZARAGOZA, CP. 25000"
NLHUN000014,Servicios Médicos Universitarios,SMU,Nuevo León,Monterrey,HU,Hospital Universitario,Hospital Universitario Dr. José Eleuterio González,1,tercer nivel,No aplica,25.6893674,-100.3512226,"AVENIDA FRANCISCO I. MADERO Y GONZALITOS SIN NUMERO, COLONIA MITRAS CENTRO, MONTERREY, NUEVO LEON, CP. 64450"
NLSME000012,Sindicato Nacional de Trabajadores de la Educación,SNTE,Nuevo León,Monterrey,H,Hospital,Hospital de los Maestros SNTE Sección 50,1,Segundo Nivel,No aplica,25.7096198,-100.3480079,"CALLE TUXPAN 400, COLONIA MITRAS NORTE, MONTERREY, NUEVO LEON, CP. 64320"
